"global_step","PPOLSTMMovingBall72Px - _step","PPOLSTMMovingBall72Px - _step__MIN","PPOLSTMMovingBall72Px - _step__MAX","PPOLSTMMovingBall72Px - rollout/ep_rew_mean","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MIN","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MAX"
"33280","64","64","64","-0.6754817962646484","-0.6754817962646484","-0.6754817962646484"
"33792","65","65","65","-0.6791191101074219","-0.6791191101074219","-0.6791191101074219"
"34304","66","66","66","-0.6826755404472351","-0.6826755404472351","-0.6826755404472351"
"34816","67","67","67","-0.6895565390586853","-0.6895565390586853","-0.6895565390586853"
"35328","68","68","68","-0.6645063757896423","-0.6645063757896423","-0.6645063757896423"
"35840","69","69","69","-0.6407750248908997","-0.6407750248908997","-0.6407750248908997"
"36352","70","70","70","-0.6444700956344604","-0.6444700956344604","-0.6444700956344604"
"36864","71","71","71","-0.6480897665023804","-0.6480897665023804","-0.6480897665023804"
"37376","72","72","72","-0.6551120281219482","-0.6551120281219482","-0.6551120281219482"
"37888","73","73","73","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
